Certificate name,Issued by,Type,Key size,Sig alg,Serial number,Expires,EV policy,Fingerprint (SHA-256)
Entrust Root Certification Authority ,Entrust Root Certification Authority ,RSA ,2048 bits ,SHA-1 ,45 6B 50 54 ,"20:53:42 Nov 27, 2026 ",2.16.840.1.114028.10.1.2 ,73 C1 76 43 4F 1B C6 D5 AD F4 5B 0E 76 E7 27 28 7C 8D E5 76 16 C1 E6 E6 14 1A 2B 2C BC 7D 8E 4C 
Entrust.net Certification Authority (2048) ,Entrust.net Certification Authority (2048) ,RSA ,2048 bits ,SHA-1 ,38 63 DE F8 ,"14:15:12 Jul 24, 2029 ",2.16.840.1.114028.10.1.2 ,6D C4 71 72 E0 1C BC B0 BF 62 58 0D 89 5F E2 B8 AC 9A D4 F8 73 80 1E 0C 10 B9 C8 37 D2 1E B1 77 
ePKI Root Certification Authority ,ePKI Root Certification Authority ,RSA ,4096 bits ,SHA-1 ,15 C8 BD 65 47 5C AF B8 97 00 5E E4 06 D2 BC 9D ,"02:31:27 Dec 20, 2034 ",Not EV ,C0 A6 F4 DC 63 A2 4B FD CF 54 EF 2A 6A 08 2A 0A 72 DE 35 80 3E 2F F5 FF 52 7A E5 D8 72 06 DF D5 
GDCA TrustAUTH R5 ROOT ,GDCA TrustAUTH R5 ROOT ,RSA ,4096 bits ,SHA-256 ,7D 09 97 FE F0 47 EA 7A ,"15:59:59 Dec 31, 2040 ",1.2.156.112559.1.1.6.1 2.23.140.1.1 ,BF FF 8F D0 44 33 48 7D 6A 8A A6 0C 1A 29 76 7A 9F C2 BB B0 5E 42 0F 71 3A 13 B9 92 89 1D 38 93 
GeoTrust Global CA ,GeoTrust Global CA ,RSA ,2048 bits ,SHA-1 ,02 34 56 ,"04:00:00 May 21, 2022 ",Not EV ,FF 85 6A 2D 25 1D CD 88 D3 66 56 F4 50 12 67 98 CF AB AA DE 40 79 9C 72 2D E4 D2 B5 DB 36 A7 3A 
GeoTrust Primary Certification Authority - G2 ,GeoTrust Primary Certification Authority - G2 ,ECDSA ,384 bits ,SHA-384 ,3C B2 F4 48 0A 00 E2 FE EB 24 3B 5E 60 3E C3 6B ,"23:59:59 Jan 18, 2038 ",1.3.6.1.4.1.14370.1.6 2.23.140.1.1 ,5E DB 7A C4 3B 82 A0 6A 87 61 E8 D7 BE 49 79 EB F2 61 1F 7D D7 9B F9 1C 1C 6B 56 6A 21 9E D7 66 
GeoTrust Primary Certification Authority - G3 ,GeoTrust Primary Certification Authority - G3 ,RSA ,2048 bits ,SHA-256 ,15 AC 6E 94 19 B2 79 4B 41 F6 27 A9 C3 18 0F 1F ,"23:59:59 Dec 1, 2037 ",1.3.6.1.4.1.14370.1.6 2.23.140.1.1 ,B4 78 B8 12 25 0D F8 78 63 5C 2A A7 EC 7D 15 5E AA 62 5E E8 29 16 E2 CD 29 43 61 88 6C D1 FB D4 
GeoTrust Primary Certification Authority ,GeoTrust Primary Certification Authority ,RSA ,2048 bits ,SHA-1 ,18 AC B5 6A FD 69 B6 15 3A 63 6C AF DA FA C4 A1 ,"23:59:59 Jul 16, 2036 ",1.3.6.1.4.1.14370.1.6 2.23.140.1.1 ,37 D5 10 06 C5 12 EA AB 62 64 21 F1 EC 8C 92 01 3F C5 F8 2A E9 8E E5 33 EB 46 19 B8 DE B4 D0 6C 
Global Chambersign Root - 2008 ,Global Chambersign Root - 2008 ,RSA ,4096 bits ,SHA-1 ,00 C9 CD D3 E9 D5 7D 23 CE ,"12:31:40 Jul 31, 2038 ",1.3.6.1.4.1.17326.10.8.12.1.2 2.23.140.1.1 ,13 63 35 43 93 34 A7 69 80 16 A0 D3 24 DE 72 28 4E 07 9D 7B 52 20 BB 8F BD 74 78 16 EE BE BA CA 
Global Chambersign Root ,Global Chambersign Root ,RSA ,2048 bits ,SHA-1 ,00 ,"16:14:18 Sep 30, 2037 ",Not EV ,EF 3C B4 17 FC 8E BF 6F 97 87 6C 9E 4E CE 39 DE 1E A5 FE 64 91 41 D1 02 8B 7D 11 C0 B2 29 8C ED 
